Measurement	Replication	Name	Count	Experiment	Module	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#13	packetReceived:vector(packetBytes)	1289	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#13	packetSent:vector(packetBytes)	432	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#0	packetSent:vector(packetBytes)	431	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	428	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	429	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#3	packetReceived:vector(packetBytes)	1284	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#17	packetReceived:vector(packetBytes)	1289	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#17	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#1	packetSent:vector(packetBytes)	7126	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	7120	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	431	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	424	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#12	packetReceived:vector(packetBytes)	854	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	7113	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#8	packetReceived:vector(packetBytes)	1274	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	7116	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#2	packetReceived:vector(packetBytes)	21391	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	7132	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#2	packetSent:vector(packetBytes)	7143	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#12	packetSent:vector(packetBytes)	425	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#9	packetReceived:vector(packetBytes)	21360	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	7128	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	7113	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	7143	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#3	packetReceived:vector(packetBytes)	21411	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#7	packetReceived:vector(packetBytes)	21360	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	7132	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	7136	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#7	packetSent:vector(packetBytes)	7121	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	432	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#4	packetReceived:vector(packetBytes)	21379	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	7144	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	7131	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#4	packetSent:vector(packetBytes)	7136	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host12.app[0]	
"""hops=4, cl=true"""	#1	packetReceived:vector(packetBytes)	1283	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	427	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#9	packetReceived:vector(packetBytes)	1292	HumidityMonitoring	Branches.sink.app[0]	
"""hops=4, cl=true"""	#9	packetSent:vector(packetBytes)	430	HumidityMonitoring	Branches.host8.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	7119	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#16	packetSent:vector(packetBytes)	7139	SmokeAlarm	Branches.host8.app[0]	
"""hops=4, cl=true"""	#16	packetReceived:vector(packetBytes)	21372	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#3	packetSent:vector(packetBytes)	7142	SmokeAlarm	Branches.host12.app[0]	
"""hops=4, cl=true"""	#8	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host4.app[0]	
"""hops=4, cl=true"""	#15	packetSent:vector(packetBytes)	7108	SmokeAlarm	Branches.host4.app[0]	
"""hops=4, cl=true"""	#15	packetReceived:vector(packetBytes)	21352	SmokeAlarm	Branches.sink.app[0]	
"""hops=4, cl=true"""	#6	packetSent:vector(packetBytes)	426	HumidityMonitoring	Branches.host8.app[0]	
"""hops=5, cl=false"""	#15	packetReceived:vector(packetBytes)	21350	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#2	packetSent:vector(packetBytes)	7151	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#2	packetSent:vector(packetBytes)	7120	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#15	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#1	packetSent:vector(packetBytes)	7153	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#11	packetSent:vector(packetBytes)	7121	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#11	packetSent:vector(packetBytes)	7138	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#11	packetReceived:vector(packetBytes)	21403	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#9	packetReceived:vector(packetBytes)	21393	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#9	packetSent:vector(packetBytes)	7130	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#9	packetSent:vector(packetBytes)	7146	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#12	packetSent:vector(packetBytes)	7093	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#12	packetSent:vector(packetBytes)	7115	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#12	packetReceived:vector(packetBytes)	21314	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#12	packetSent:vector(packetBytes)	7118	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#9	packetSent:vector(packetBytes)	7119	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#15	packetSent:vector(packetBytes)	7108	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#4	packetSent:vector(packetBytes)	7111	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#11	packetSent:vector(packetBytes)	7147	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#3	packetSent:vector(packetBytes)	7119	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#15	packetSent:vector(packetBytes)	7119	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#3	packetSent:vector(packetBytes)	7133	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#3	packetSent:vector(packetBytes)	7127	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#4	packetReceived:vector(packetBytes)	21337	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#4	packetSent:vector(packetBytes)	7111	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#3	packetReceived:vector(packetBytes)	21369	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#2	packetReceived:vector(packetBytes)	21360	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#2	packetSent:vector(packetBytes)	7094	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#4	packetSent:vector(packetBytes)	7123	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#6	packetSent:vector(packetBytes)	7154	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#7	packetSent:vector(packetBytes)	7152	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#0	packetSent:vector(packetBytes)	7103	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#0	packetReceived:vector(packetBytes)	21358	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#0	packetSent:vector(packetBytes)	7125	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#0	packetSent:vector(packetBytes)	7135	SmokeAlarm	Branches.host15.app[0]	
"""hops=5, cl=false"""	#6	packetSent:vector(packetBytes)	7109	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#6	packetReceived:vector(packetBytes)	21347	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#6	packetSent:vector(packetBytes)	7087	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#7	packetSent:vector(packetBytes)	7161	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#19	packetSent:vector(packetBytes)	7111	SmokeAlarm	Branches.host14.app[0]	
"""hops=5, cl=false"""	#19	packetReceived:vector(packetBytes)	21388	SmokeAlarm	Branches.sink.app[0]	
"""hops=5, cl=false"""	#19	packetSent:vector(packetBytes)	7139	SmokeAlarm	Branches.host13.app[0]	
"""hops=5, cl=false"""	#19	packetSent:vector(packetBytes)	7142	SmokeAlarm	Branches.host15.app[0]	
