Measurement	Replication	Name	Count	Mean	Min	Max	Experiment	
"""hops=3, cl=true"""	#1	endToEndDelay:vector	21441	0.6765236503369358	0.134001057298	2.867089256969	SmokeAlarm	
"""hops=3, cl=true"""	#13	endToEndDelay:vector	1288	1.0077603518477976	0.155203581364	5.19254925858	HumidityMonitoring	
"""hops=3, cl=true"""	#8	endToEndDelay:vector	21373	0.678113626462307	0.134283326712	5.263615681378	SmokeAlarm	
"""hops=3, cl=true"""	#1	endToEndDelay:vector	1278	0.8729431573262347	0.187504336036	4.751991067576	HumidityMonitoring	
"""hops=3, cl=true"""	#5	endToEndDelay:vector	21433	0.685219434836105	0.134159042629	6.077338075624	SmokeAlarm	
"""hops=3, cl=true"""	#7	endToEndDelay:vector	21390	0.6894076194618981	0.153953611931	5.730413717792	SmokeAlarm	
"""hops=3, cl=true"""	#7	endToEndDelay:vector	1286	1.1115049905157357	0.155475258212	13.94816506734	HumidityMonitoring	
"""hops=3, cl=true"""	#4	endToEndDelay:vector	21417	0.6880664681263039	0.13413590877	3.760857942119	SmokeAlarm	
"""hops=3, cl=true"""	#2	endToEndDelay:vector	1288	0.9116996128405821	0.126599913182	14.819649408175	HumidityMonitoring	
"""hops=3, cl=true"""	#15	endToEndDelay:vector	21393	0.7051131478999542	0.164002355426	4.98603218285	SmokeAlarm	
"""hops=3, cl=true"""	#14	endToEndDelay:vector	1282	0.8956862530764423	0.156230291478	4.263239458831	HumidityMonitoring	
"""hops=3, cl=true"""	#12	endToEndDelay:vector	20488	1.8468489452343673	0.134214456974	60.318089072471	SmokeAlarm	
"""hops=3, cl=true"""	#4	endToEndDelay:vector	1277	1.0136352299950697	0.200176074945	4.410808858006	HumidityMonitoring	
"""hops=3, cl=true"""	#15	endToEndDelay:vector	1286	0.8254770069813103	0.151151199376	3.968884939428	HumidityMonitoring	
"""hops=3, cl=true"""	#12	endToEndDelay:vector	1282	0.820917716117911	0.125392616004	4.087902784274	HumidityMonitoring	
"""hops=3, cl=true"""	#16	endToEndDelay:vector	1284	1.170537980754009	0.157069741901	5.265817443334	HumidityMonitoring	
"""hops=3, cl=true"""	#10	endToEndDelay:vector	14236	0.6907241698328934	0.164022452781	3.061769207711	SmokeAlarm	
"""hops=3, cl=true"""	#6	endToEndDelay:vector	21398	0.6848155463032479	0.12456078205	3.750813858146	SmokeAlarm	
"""hops=3, cl=true"""	#18	endToEndDelay:vector	21342	0.8042866227820151	0.154050148722	3.504554456153	SmokeAlarm	
"""hops=3, cl=true"""	#9	endToEndDelay:vector	1291	0.9155331021568349	0.156407470653	11.289663584985	HumidityMonitoring	
"""hops=3, cl=true"""	#8	endToEndDelay:vector	1280	0.8271146572372006	0.154075802299	3.990015886273	HumidityMonitoring	
"""hops=3, cl=true"""	#2	endToEndDelay:vector	21410	0.690948031616498	0.144025195227	2.179429882725	SmokeAlarm	
"""hops=3, cl=true"""	#17	endToEndDelay:vector	21410	0.7769039318656654	0.143957276611	18.261904456504	SmokeAlarm	
"""hops=3, cl=true"""	#13	endToEndDelay:vector	21363	0.703764921478528	0.143939986407	4.561286608742	SmokeAlarm	
"""hops=3, cl=true"""	#14	endToEndDelay:vector	21361	0.7039068578954277	0.126045147228	4.927890926429	SmokeAlarm	
"""hops=3, cl=true"""	#0	endToEndDelay:vector	21346	0.7880985182006943	0.164097474908	10.340002980726	SmokeAlarm	
"""hops=3, cl=true"""	#19	endToEndDelay:vector	1286	0.8539857048413898	0.176850060824	3.934229503457	HumidityMonitoring	
"""hops=3, cl=true"""	#18	endToEndDelay:vector	1281	0.8273044119685558	0.132648552466	4.061315453409	HumidityMonitoring	
"""hops=3, cl=true"""	#11	endToEndDelay:vector	1286	0.8413853213122964	0.164721819664	4.949950907262	HumidityMonitoring	
"""hops=3, cl=true"""	#19	endToEndDelay:vector	21385	0.6743037638170836	0.124330116643	4.273251025655	SmokeAlarm	
"""hops=3, cl=true"""	#11	endToEndDelay:vector	21354	0.711874638460133	0.134806323472	5.444083196842	SmokeAlarm	
"""hops=3, cl=true"""	#10	endToEndDelay:vector	1291	0.8317142591503617	0.157382331878	8.360390787588	HumidityMonitoring	
"""hops=3, cl=true"""	#17	endToEndDelay:vector	1285	0.8236054156665558	0.1387724841	4.61026052333	HumidityMonitoring	
"""hops=3, cl=true"""	#3	endToEndDelay:vector	858	0.8587425023614544	0.170924407954	5.71439122148	HumidityMonitoring	
"""hops=3, cl=true"""	#5	endToEndDelay:vector	1284	0.8792264343826238	0.144179494591	14.137639176205	HumidityMonitoring	
"""hops=4, cl=false"""	#13	endToEndDelay:vector	21387	0.9280028275669797	0.114004138061	11.989792821599	SmokeAlarm	
"""hops=4, cl=false"""	#11	endToEndDelay:vector	21293	0.9336114422392267	0.253990652803	4.608820217483	SmokeAlarm	
"""hops=4, cl=false"""	#4	endToEndDelay:vector	21359	1.1994528844085703	0.433985888301	7.224730547783	SmokeAlarm	
"""hops=4, cl=false"""	#12	endToEndDelay:vector	21380	1.10286826486552	0.404060345349	6.217090680812	SmokeAlarm	
"""hops=4, cl=false"""	#5	endToEndDelay:vector	21346	0.9263311768060896	0.083946518125	9.413250404996	SmokeAlarm	
"""hops=4, cl=false"""	#2	endToEndDelay:vector	21317	0.9146645454317508	0.113957172703	4.176371069375	SmokeAlarm	
"""hops=4, cl=false"""	#8	endToEndDelay:vector	21395	1.222140290570487	0.54429096581	5.40804372721	SmokeAlarm	
"""hops=4, cl=false"""	#1	endToEndDelay:vector	21351	0.7978045497331213	0.09394765029	5.115548135385	SmokeAlarm	
"""hops=4, cl=false"""	#7	endToEndDelay:vector	21410	1.399223326156846	0.543966682636	4.238971902664	SmokeAlarm	
"""hops=4, cl=false"""	#3	endToEndDelay:vector	21388	1.5300848859201028	0.544107440571	5.111201766028	SmokeAlarm	
"""hops=4, cl=false"""	#15	endToEndDelay:vector	21374	1.0302373682321924	0.424059846135	6.175805087319	SmokeAlarm	
"""hops=4, cl=false"""	#6	endToEndDelay:vector	21377	1.4309015414964634	0.554255265772	4.703048389123	SmokeAlarm	
"""hops=4, cl=false"""	#18	endToEndDelay:vector	21344	1.2967685504628879	0.423948469273	4.004975458446	SmokeAlarm	
"""hops=4, cl=false"""	#10	endToEndDelay:vector	21391	0.9689732482293473	0.354049245934	5.007495583976	SmokeAlarm	
"""hops=4, cl=false"""	#19	endToEndDelay:vector	21336	1.295391811617455	0.334022915767	4.737679747098	SmokeAlarm	
"""hops=4, cl=false"""	#0	endToEndDelay:vector	21388	1.058788615312851	0.423987317962	4.954821888122	SmokeAlarm	
"""hops=4, cl=false"""	#9	endToEndDelay:vector	21383	1.1377641979647586	0.264002010286	5.079064883279	SmokeAlarm	
"""hops=4, cl=false"""	#14	endToEndDelay:vector	21329	1.0604668560078638	0.173941182491	5.788113967111	SmokeAlarm	
"""hops=4, cl=false"""	#17	endToEndDelay:vector	21411	0.8496219895586125	0.214269915489	5.371835132481	SmokeAlarm	
"""hops=4, cl=false"""	#16	endToEndDelay:vector	21392	0.9239822347534334	0.16398202879	5.186330930296	SmokeAlarm	
"""hops=4, cl=true"""	#1	endToEndDelay:vector	1283	1.0222389696000274	0.272917015398	4.447795091755	HumidityMonitoring	
"""hops=4, cl=true"""	#2	endToEndDelay:vector	857	0.9635467020683781	0.270540887019	6.37136226823	HumidityMonitoring	
"""hops=4, cl=true"""	#5	endToEndDelay:vector	1282	1.0042749853535125	0.334416404498	6.039719804355	HumidityMonitoring	
"""hops=4, cl=true"""	#4	endToEndDelay:vector	1282	1.024459588236057	0.289635798281	7.1322274917	HumidityMonitoring	
"""hops=4, cl=true"""	#1	endToEndDelay:vector	21381	0.7709596563476447	0.233964758601	4.051835926106	SmokeAlarm	
"""hops=4, cl=true"""	#15	endToEndDelay:vector	21352	0.8203515649305867	0.223951213216	4.875932168119	SmokeAlarm	
"""hops=4, cl=true"""	#4	endToEndDelay:vector	21379	1.0107224700506328	0.233993731283	20.581289505491	SmokeAlarm	
"""hops=4, cl=true"""	#17	endToEndDelay:vector	21387	0.8451067285391322	0.283986489788	4.280486585104	SmokeAlarm	
"""hops=4, cl=true"""	#9	endToEndDelay:vector	21360	0.7963310612090431	0.243956295218	4.29789753692	SmokeAlarm	
"""hops=4, cl=true"""	#16	endToEndDelay:vector	21372	0.8128775512892659	0.223982672747	3.707012343422	SmokeAlarm	
"""hops=4, cl=true"""	#14	endToEndDelay:vector	21327	0.7974794668251539	0.24409567164	3.896423807674	SmokeAlarm	
"""hops=4, cl=true"""	#13	endToEndDelay:vector	21338	0.7968231183900549	0.23394073286	5.883826766691	SmokeAlarm	
"""hops=4, cl=true"""	#5	endToEndDelay:vector	14267	0.7719357057825578	0.224251453355	6.146656184193	SmokeAlarm	
"""hops=4, cl=true"""	#19	endToEndDelay:vector	21370	0.7929753573560704	0.254094739715	4.527849986308	SmokeAlarm	
"""hops=4, cl=true"""	#18	endToEndDelay:vector	21364	0.9428695136547315	0.263940569014	3.638079942257	SmokeAlarm	
"""hops=4, cl=true"""	#8	endToEndDelay:vector	21408	0.8570823177790461	0.30415136123	4.188046936917	SmokeAlarm	
"""hops=4, cl=true"""	#0	endToEndDelay:vector	14227	0.7670076162319394	0.23404017304	4.717041751891	SmokeAlarm	
"""hops=4, cl=true"""	#12	endToEndDelay:vector	21392	0.8408425059478193	0.224249722558	6.147241695744	SmokeAlarm	
"""hops=4, cl=true"""	#10	endToEndDelay:vector	1288	0.9653453434221242	0.24213492078	3.821007847484	HumidityMonitoring	
"""hops=4, cl=true"""	#7	endToEndDelay:vector	21360	0.9697093386721795	0.253956593994	20.498379529746	SmokeAlarm	
"""hops=4, cl=true"""	#15	endToEndDelay:vector	1280	0.9664769287841972	0.228574380083	5.38904061358	HumidityMonitoring	
"""hops=4, cl=true"""	#6	endToEndDelay:vector	1282	0.9811956848205452	0.261653064918	3.905736518613	HumidityMonitoring	
"""hops=4, cl=true"""	#14	endToEndDelay:vector	1287	1.1860162673385002	0.251475124127	4.51964709661	HumidityMonitoring	
"""hops=4, cl=true"""	#10	endToEndDelay:vector	21387	0.8067114977248927	0.263957168079	5.607640980332	SmokeAlarm	
"""hops=4, cl=true"""	#7	endToEndDelay:vector	854	0.9815414578257284	0.319880839471	3.843470079535	HumidityMonitoring	
"""hops=4, cl=true"""	#8	endToEndDelay:vector	1274	1.2987070286259335	0.253993180305	13.002466393284	HumidityMonitoring	
"""hops=4, cl=true"""	#3	endToEndDelay:vector	21411	0.7760409948252412	0.223955367991	4.330060238537	SmokeAlarm	
"""hops=4, cl=true"""	#6	endToEndDelay:vector	21368	0.8014644598118306	0.234304544781	3.582848080593	SmokeAlarm	
"""hops=4, cl=true"""	#13	endToEndDelay:vector	1289	0.9603513438257508	0.247667497038	14.934861535463	HumidityMonitoring	
"""hops=4, cl=true"""	#17	endToEndDelay:vector	1289	1.003140757313768	0.274579943064	5.375426087334	HumidityMonitoring	
"""hops=4, cl=true"""	#2	endToEndDelay:vector	21391	0.798783186027042	0.254576935302	3.481054913529	SmokeAlarm	
"""hops=4, cl=true"""	#18	endToEndDelay:vector	1277	0.9130007144244946	0.281923090872	4.755327992456	HumidityMonitoring	
"""hops=4, cl=true"""	#19	endToEndDelay:vector	1281	0.9718562847854129	0.284465302951	5.904142320019	HumidityMonitoring	
"""hops=4, cl=true"""	#16	endToEndDelay:vector	1277	0.9712305220912716	0.294421733279	5.180180952323	HumidityMonitoring	
"""hops=4, cl=true"""	#0	endToEndDelay:vector	1284	0.948735838367486	0.278317827388	5.059838676022	HumidityMonitoring	
"""hops=4, cl=true"""	#11	endToEndDelay:vector	1276	1.0369037951376294	0.284393348278	5.040890602985	HumidityMonitoring	
"""hops=4, cl=true"""	#12	endToEndDelay:vector	854	1.0859744189343477	0.246799426704	12.864539999954	HumidityMonitoring	
